Common name,Lat_Min,Lat_Max,Lon_Min,Lon_Max,Year_Min,Year_Max,Count
Desert Wheatear,57.131403000000006,57.203267000000004,-2.1255900000000003,-2.042943,2008.0,2008.0,15
Dipper,55.957563,57.975288,-4.055042,-1.7846669999999998,1900.0,2009.0,682
Dotterel,57.0,58.0,-4.0,-2.0,1900.0,2010.0,118
"Ducks, geese, swans",57.111383,57.328773,-2.719842,-2.208428,2009.0,2009.0,8
Dunlin,56.717307,57.876940000000005,-3.678743,-0.716286,1900.0,2010.0,1314
Dunnock,55.923501,57.697258,-4.330082,-1.7596009999999997,1900.0,2010.0,950
Dusky Warbler,57.346985,57.346993000000005,-1.9434900000000002,-1.9268740000000002,2004.0,2004.0,7
Eastern Olivaceous Warbler,57.346993000000005,57.346993000000005,-1.9434900000000002,-1.9434900000000002,2000.0,2000.0,2
Egyptian Goose,57.499607999999995,57.499607999999995,-2.1601630000000003,-2.1601630000000003,2008.0,2008.0,1
Eider,54.826663,57.706555,-4.344306,-1.7514060000000002,1992.0,2010.0,981
European White-fronted Goose,57.103010999999995,57.625404,-2.60413,-1.8092119999999998,2000.0,2009.0,21
Fieldfare,56.0,57.7,-4.3,-1.75141,1900.0,2010.0,877
Firecrest,56.443234,57.607380000000006,-3.1613290000000003,-1.7933419999999998,1997.0,2009.0,47
Forster's Tern,57.338023,57.338023,-2.009951,-2.009951,1994.0,1994.0,1
